年度,部名,室名,管理対象部署のコード番号,管理対象部署名,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
2015,市民交流部,市民生活室,44,長尾SC,1087,973,1095,1087,1397,1042,948,1094,828,1462,1258,1309
2015,産業文化部,産業振興室,46,西谷自然休養村センター,1280,1021,1010,1415,1379,824,863,1024,1459,1695,1750,1681
2015,市民交流部,市民生活室,47,仁川駅前SS,1037.2,1141.85,1312.98,1373.8,1370.33,1248.87,1156.64,1096.55,1109.52,1169.06,1221.84,1145.14
2015,市民交流部,市民生活室,48,宝塚駅前SS,576,1841,2397,2720,2808,2071,871,590,591,1137,1272,777
2015,市民交流部,市民生活室,49,売布神社駅前SS,957,1182,1262,1400,1369,1224,1220,1020,989,1153,1125,1151
2015,市民交流部,市民生活室,50,中山台SS,0,0,0,0,0,0,0,0,0,0,0,0
2015,市民交流部,市民生活室,51,雲雀丘SS,4724,3295,3650,4420,6190,5253,3719,2954,3851,3908,6282,5122
2015,市民交流部,市民生活室,53,国民健康保険診療所,3026,2791,3015,3399,3787,2710,2829,3090,3596,4385,4452,3721
2015,総務部,行政管理室,58,本庁舎（全体）,120653,108927,124399,174935,175374,125565,107741,108945,141454,170774,172364,158179
2015,総務部,行政管理室,59,看護専門学校,8227,7670,8789,10489,13260,10973,8169,8315,10301,10971,17845,13380
2015,総務部,人権平和室,62,くらんど人権文化センター,4773,4604,5497,7046,7902,5210,5104,4204,5592,7383,7371,6293
2015,総務部,人権平和室,63,まいたに人権文化センター,6581,4818,5913,6770,9130,6270,5301,6067,7269,8232,10407,8670
2015,総務部,人権平和室,64,ひらい人権文化センター,3025,2009,1737,2451,3707,3225,2202,1885,2446,3565,4379,3877
2015,都市安全部,生活安全室,67,ふじが丘雨量観測施設,26,24,15,13,12,12,19,20,25,34,31,29
2015,都市安全部,生活安全室,68,上佐曽利雨量観測施設,36,32,27,25,24,22,24,32,31,42,38,39
2015,都市安全部,生活安全室,77,街路灯全体,187468,189487,172822,177575,182772,181086,186640,193514,187850,204472,180436,163601
2015,都市安全部,生活安全室,78,末広返還所,367,304,301,341,510,459,312,317,283,364,444,425
2015,都市安全部,生活安全室,79,売布返還所,511,415,317,337,447,352,343,400,437,549,618,531
2015,都市安全部,建設室,82,道路付属施設,26095,27384,28337,26719,29013,27988,30099,31198,27714,28001,24053,24518
2015,都市安全部,建設室,84,小林フラワーセンター,35,53,51,46,43,37,37,56,46,68,52,50
2015,都市安全部,建設室,85,安倉フラワーセンター,220,203,160,206,363,392,226,189,213,393,669,264
2015,都市安全部,建設室,86,北部整備課,1123,880,917,1353,1234,756,850,938,1284,1675,1738,1709
2015,健康福祉部,安心ネットワーク推進室,120,老人福祉センター,25022,24808,29218,37633,44683,30046,22312,23261,28996,39010,36908,30934
2015,健康福祉部,健康推進室,121,健康推進課（健康センター）,9966,10183,10383,12714,14322,10158,9627,9115,11666,14763,14379,12647
2015,健康福祉部,健康推進室,122,口腔保健センター,3170,2216,2435,2937,3174,2801,2186,2268,2939,3386,3814,3621
2015,健康福祉部,安心ネットワーク推進室,133,老人ホーム,10277,7470,7219,17254,22028,11413,8057,10910,17119,20236,19970,16217
2015,子ども未来部,子ども室,137,ひばり子ども館,531.5,407,334.5,374.5,640,426,384,379.5,428,562,602.5,577.5
2015,子ども未来部,子ども室,141,米谷保育所,5637,3927,5352,6844,9898,6201,4294,4539,5827,6705,8403,6776
2015,子ども未来部,子ども室,142,川面保育所,3808,3085,2988,3686,5872,4788,3026,3111,0,0,0,0
2015,子ども未来部,子ども室,144,わかくさ保育所,6553,4711,4581,5974,8655,9605,5614,4888,4648,5710,7744,6900
2015,子ども未来部,子ども室,145,逆瀬川保育所,2127,2405,2169,2496,3060,1981,1940,1857,2380,3086,2742,2098
2015,子ども未来部,子ども室,146,めふ保育所,4034,3282,3321,4178,5509,4428,3338,3566,3591,4339,3167,4128
2015,子ども未来部,子ども室,147,平井保育所,2721,2314,2152,2817,3924,3399,2374,2180,2022,2522,2999,2937
2015,子ども未来部,子ども室,148,安倉中保育所,2334,1867,1983,2961,4411,2748,1768,2053,2327,3310,3373,3011
2015,子ども未来部,子ども室,150,子ども発達支援センター,15468,6462,6217,7893,10323,9507,7349,6636,7405,16414,19302,20437
2015,環境部,環境室,151,環境政策課,620,705,605,623,806,702,635,699,601,766,597,616
2015,環境部,環境室,153,市営火葬場,19214,18045,21461,21481,25756,22725,17518,16978,18144,20492,22110,19958
2015,環境部,環境室,154,市営長尾山霊園,2523,2523,2166,1932,3191,2554,1864,1514,1513,2389,2063,2170
2015,環境部,環境室,155,市営西山霊園,68,78,69,78,128,121,77,74,64,60,60,53
2015,環境部,クリーンセンター,156,管理課（管理棟）,6113,5239,6066,5851,6131,6366,5761,5325,5693,5505,6130,5747
2015,産業文化部,産業振興室,160,消費生活センター,4207,5196,5547,6152,6017,5379,5363,4484,4346,5065,4945,5059
2015,産業文化部,宝のまち創造室,167,観光ダム,1189,0,1134,1922,722,1807,846,1098,883,0,1450,965
2015,産業文化部,宝のまち創造室,168,手塚治虫記念館,17255,22104,21845,27567,32791,23624,19345,16222,18842,24545,17996,20364
2015,西消防署,(西消防署),185,西消防署,23997,24462,24217,30252,32826,24457,23955,22596,26591,29986,27328,26849
2015,西消防署,(西消防署),186,南部出張所,2578,1519,1358,1300,2355,2401,1367,1382,1378,2912,3165,3132
2015,西消防署,(西消防署),187,栄町出張所,2786,2327,1698,1852,3344,2937,1819,2006,2083,3838,3884,3360
2015,西消防署,(西消防署),188,宝松苑出張所,2284,1801,1257,1408,2108,1992,1353,1560,1651,2772,2921,2879
2015,東消防署,(東消防署),189,東消防署,5013,2760,2627,2663,5682,6611,3135,2649,2903,5448,6125,5473
2015,東消防署,(東消防署),190,西谷出張所,2064,1602,1505,1542,2126,1953,1519,1606,1658,2480,2332,2424
2015,東消防署,(東消防署),191,雲雀丘出張所,2676,1724,1388,1486,2965,2137,1582,1427,1375,2425,2755,2543
2015,東消防署,(東消防署),192,米谷出張所,1970,1467,1215,1620,3322,1967,1524,1393,1520,2751,2672,2282
2015,東消防署,(東消防署),193,中山台出張所,2310,1737,1785,2570,3384,2115,1841,1855,2484,3694,3117,2707
2015,学校教育部,学校教育室,244,特別支援学校,8964,8377,9488,12850,9981,8658,7818,8331,11017,13523,14325,10908
2015,学校教育部,教育支援室,249,教育研究課,20798,21159,27145,38662,45317,29194,24603,24267,29255,37007,35322,30709
2015,社会教育部,生涯学習室,254,旧和田家住宅,186,139,110,112,92,101,125,125,172,315,197,175
2015,社会教育部,生涯学習室,255,小浜宿歴史民俗資料館,1982,1760,1591,1788,2749,1822,1698,1643,1654,2152,2264,2089
2015,社会教育部,生涯学習室,256,仁川五ヶ山公衆街路灯,60,62,60,62,60,62,60,62,60,62,60,62
2015,社会教育部,生涯学習室,257,中山荘園古墳公園,0,0,0,0,0,0,0,0,0,0,0,0
2015,社会教育部,生涯学習室,263,東公民館,16577,12589,16198,19362,24739,22703,19518,16967,14423,16559,20325,18860
2015,社会教育部,生涯学習室,264,西公民館,21578,29898,38285,49998,51858,37309,26911,23924,34003,44926,41586,31932
2015,社会教育部,生涯学習室,265,中央図書館,18274.8,15031.2,25203.6,23962.2,32695.8,29191.8,23480.4,19593.6,18483,21079.2,26067.6,22057.8
2015,社会教育部,生涯学習室,266,西図書館,9247,12813,16407,21428,22224,15989,11533,10253,14573,19254,17822,13684
2015,上下水道局,経営管理部,271,上下水道局総務課,11115,9274,13281,24429,25524,14775,9834,9692,17213,22283,21207,17386
2015,上下水道局,施設部,274,小浜・川面浄水場,485697,488095,423739,446626,492929,455313,457635,466119,444488,494485,441284,428891
2015,上下水道局,施設部,276,小林・亀井浄水場,523836,518282,521294,492446,523584,510884,484014,501741,429465,503488,473868,470849
2015,上下水道局,施設部,278,惣川・生瀬・玉瀬浄水場,74159,76987,79614,91705,114581,97135,86277,90887,89910,89645,93359,84283
2015,上下水道局,施設部,281,水質検査室,7776,8094,10296,12460,15421,13342,10507,9184,8648,10743,11506,10038
2015,上下水道局,施設部,283,加圧所,591457,595864,598439,569550,613768,579406,571701,586700,553122,611940,599962,565329
2015,上下水道局,施設部,286,マンホールポンプ等,14005,18685,21713,28635,28790,28365,22987,19348,17660,33689,22230,20292
2015,市立病院経営統括部,(市立病院経営統括部),287,市立病院経営統括部,449447,474683,529513,625012,624716,514796,477605,455817,476094,481490,454468,481339
2015,環境部,クリーンセンター,306,焼却炉棟・し尿処理棟,34859,14017,53432,46853,88603,33755,26700,18112,26577,33047,135020,32064
2015,環境部,クリーンセンター,307,不燃物埋立処分地,3641,3633,3632,4403,3672,3902,3959,3479,4945,3275,3039,3011
2015,環境部,クリーンセンター,308,緑のリサイクルセンター,356,313,305,393,375,299,363,415,469,423,455,425
2015,環境部,クリーンセンター,309,清荒神公衆便所,120,97,103,124,107,126,119,112,137,108,103,119
2015,環境部,クリーンセンター,310,中山観音駅前公衆便所,0,0,0,0,0,0,0,0,0,0,0,0
2015,環境部,クリーンセンター,311,武田尾公衆便所,274,274,248,270,237,258,290,266,317,267,281,292
2015,環境部,クリーンセンター,312,宝塚駅前公衆便所,335,256,253,245,238,271,322,305,400,321,344,375
2015,都市安全部,危機管理室,314,防犯カメラ,88.2,91.14,88.2,91.14,91.14,88.2,91.14,88.2,91.14,91.14,85.26,91.14
2015,学校教育部,学校教育室,315,幼稚園（総括）,12204,11053,10892,13370,13641,10629,11368,11475,12647,15400,21749,20242
2015,学校教育部,学校教育室,316,小学校（総括）,296008,289306,370972,394207,256458,329378,302199,298252,340669,369154,400300,337953
2015,学校教育部,学校教育室,317,中学校（総括）,170420,168079,222624,298346,227672,205919,175958,161597,201739,221628,228746,208032
2015,都市安全部,建設室,318,末広中央公園,4084,4478,3336,4254,6023,7146,5013,4729,4694,5883,4373,4147
2015,産業文化部,宝のまち創造室,319,泉源池,1023,1287,1096,1130,1275,1286,1224,1165,1052,1380,1138,1177
2015,環境部,環境室,323,宝塚すみれ墓苑,1875,1504,1843,2987,3453,2452,2492,2400,4116,4128,3648,2997
